yiddish	qid	kima_id	kima_rom	kima_heb	lat	lon	label_en	occurrences	fields
פֿילאדעלפֿייע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111	Philadelphia	1	settlements
פֿראַנקפורט	Q1794	422	Frankfurt am Main (Germany)	פרנקפורט דמיין (גרמניה)	50.1105555555556	8.68222222222222		1	settlements
רומעניע	Q218						Romania	185	countries;settlements;venues
פּויליש-ליטע	Q172107						Polish–Lithuanian Commonwealth	92	countries;province
דייטשלאַנד	Q183						Germany	65	countries;place;venues
מעקסיקע	Q96						Mexico	38	countries;place;settlements;venues
אוקראַאינע	Q212						Ukraine	36	countries;place;province;settlements;venues
פראַנקרייך	Q142						France	35	countries
מדינת ישראל	Q801						Israel	19	countries;place;settlements
פּוילישליטע	Q172107						Polish–Lithuanian Commonwealth	17	countries;province
בעלגיע	Q31						Belgium	16	countries;place;venues
פֿראַנקרייך	Q142						France	16	countries;venues
פראנקרייך	Q142						France	11	countries
ווייס-רוסלאַנד	Q184						Belarus	10	countries;province
דייטשלאנד	Q183						Germany	9	countries
טשעכאָסלאָוואַקייע	Q33946						Czechoslovakia	9	countries;venues
אוקראָאינע	Q212						Ukraine	5	countries
טשעכאָסלאָוואַקיי	Q33946						Czechoslovakia	5	countries
דרום-אָפריקע	Q258						South Africa	4	countries;venues
דרום-רוסלאַנד	Q2214						Pskov	3	country;province
מערב-דייטשלאַנד	Q713750						West Germany	3	countries;venues
סאָוויעטרוסלאַנד	Q15180						Soviet Union	3	countries;venues
פֿראַנקרייך	Q142						France	3	countries
בּעלגיע	Q31						Belgium	2	countries;venues
דרוםאפריקע	Q258						South Africa	2	countries
כינע	Q148						People's Republic of China	2	countries
סאָוויעט-רוסלאַנד	Q15180						Soviet Union	2	countries
עסטרייך-אונגאָרן	Q28513						Austria–Hungary	2	countries;place
אַרץישראל	Q801						Israel	1	countries
אוקראאינע	Q212						Ukraine	1	countries
דייטשלאַנד	Q183						Germany	1	countries
טשעכאָ-סלאָוואָקייע	Q33946						Czechoslovakia	1	countries
טשעכאָסלאָוואָקייע	Q33946						Czechoslovakia	1	countries
סאָוויעטנפֿאַרבאַנד	Q15180						Soviet Union	1	countries
קירגיזיע	Q813						Kyrgyzstan	1	countries
רוּמעניע	Q218						Romania	1	countries
וואַרשעווער געטאָ	Q154607						Warsaw Ghetto	43	province;settlements;venues
יעקאַטערינאָסלאָוו	Q48256						Dnipro	20	province;settlements
זשיטאָמיר	Q156713						Zhytomyr	19	settlements
אָדעם	Q1874						Odesa	18	settlements
ווילנער געטאָ	Q707539						Vilna Ghetto	15	settlements;venues
קעשעניעוו	Q21197						Chișinău	14	settlements
אומאַן	Q208499						Uman	13	settlements
בראַנזוויל	Q991279						Brownsville	10	settlements;venues
יעקאַטערינאָסלאַוו	Q48256						Dnipro	6	settlements
שיקאָנאַ	Q1023022						Olive Hill	6	settlements
טאַשקענט	Q269						Tashkent	5	settlements
לוואָוו	Q36036						Lviv	5	province;settlements
מעקסיקע סיטי	Q1489						Mexico City	4	settlements
ריגער געטאָ	Q698342						Riga Ghetto	4	province;settlements;venues
טאָשקענט	Q269						Tashkent	3	settlements
מאָהילעווער גובערניע	Q586369						Mogilev Governorate	3	province
עסטאָניע	Q191						Estonia	3	province
פּויליש ליטע	Q172107						Polish–Lithuanian Commonwealth	3	province
זוואָניץ	Q4178401						Zhvanets	2	settlements
מימי ביעטש	Q201516						Miami Beach	2	settlements
מעקסיקאָ סיטי	Q1489						Mexico City	2	settlements
נאָוואָסעליץ	Q149030						Novoselytsia	2	settlements
נעסוויזש	Q201230						Niasviž	2	settlements
קאַליפֿאָרניע	Q99						California	2	place;venues
קאָלאָראָדאָ	Q49258						Colorado Springs	2	province
קעלץ	Q102317						Kielce	2	settlements
שיקאָנאָ	Q1023022						Olive Hill	2	settlements
אַהייאָ	Q20615834							1	province
אַזאַרקאָוו	Q628460						Ozorków	1	settlements
אַסטראַכאַן	Q3927						Astrakhan	1	settlements
אַשכאַבאַד	Q23438						Ashgabat	1	settlements
אָזאָרקאָוו	Q628460						Ozorków	1	settlements
אָרלע	Q2903457						light unto the nations	1	settlements
אָשמינע	Q722836						Ašmiany	1	settlements
אומשלאַגפּלאַץ	Q154607						Warsaw Ghetto	1	venues
אוננאָרן	Q869732						Heppendorf	1	province
באָפֿאָלאָ	Q40435						Buffalo	1	settlements
ביאלאַ פּאָדלאַסקאַ	Q209932						Biała Podlaska	1	settlements
ביעלאַ-צערקאָוו	Q33342						Bila T︠S︡erkva (Ukraine)	1	settlements
ביראַ בידזשאַן	Q7769						Birobidzhan	1	settlements
ביראָ בידזשאָן	Q7769						Birobidzhan	1	settlements
בית עולם פֿון די יידישע טעאַטריקל עלייענס	Q2341172						Mount Hebron Cemetery	1	venues
בית-עולם פֿון די יידישע טעאַטריקל-עליינס	Q2341172						Mount Hebron Cemetery	1	venues
בית-עולם פֿין אַרבעטער-רינג (הר הכרמל)	Q4285547						Mount Carmel Cemetery	1	venues
"בית-עלמין פון „אַרבעטער-רינג"""	Q4285547						Mount Carmel Cemetery	1	venues
בראַאילא	Q20765						Brăila	1	settlements
בראַאילאַ	Q20765						Brăila	1	settlements
בראָנזוויל	Q991279						Brownsville	1	settlements
ברוקלינער	Q18419						Brooklyn	1	settlements
ברעסט-ליטאַווסק	Q140147						Brest	1	settlements
ברעסט-ליטאָווסק	Q140147						Brest	1	settlements
גאָסטינין	Q983735						Gostynin	1	settlements
דראַנסי	Q201348						Drancy	1	settlements
הר חברון-בית עולם	Q2341172						Mount Hebron Cemetery	1	venues
וואָסילקאָוו	Q900779						152mm SpGH DANA	1	settlements
ווילקאָמיר	Q213127						Ukmergė	1	settlements
ווילקאמיר	Q213127						Ukmergė	1	settlements
זעמבין	Q4190971						Zembin Ghetto	1	settlements
זשיראַרדאָוו	Q204011						Dronacharya Award	1	settlements
זשעטל	Q1025883						Dzyatlava	1	settlements
טשיגרין	Q161980						Chyhyryn	1	settlements
יאַנאָווער לאַגער	Q2422842						Janowska concentration camp	1	venues
כאָטין	Q45883						Khotyn (Ukraine)	1	settlements
ליבאַוויטש	Q898212						Lyubavichi, Rudnyansky District, Smolensk Oblast	1	settlements
ליבאָוויטש	Q898212						Lyubavichi, Rudnyansky District, Smolensk Oblast	1	settlements
מאָזיר	Q386487						Mazyr	1	settlements
מיידאַנעק	Q153324						Condor Legion	1	venues
מעזשיבעזש	Q1022485						Medz︠h︡ybiz︠h︡ (Ukraine)	1	settlements
מעקסיקאַ סיטי	Q1489						Mexico City	1	settlements
נאָוואַראַדאָמסק	Q165940						typhlosole	1	settlements
ני-ויאָרק	Q60						New York City	1	settlements
ניו-דזשוירזי	Q1408						New Jersey	1	settlements
סאָן-פֿראַנציסקאָ	Q62						San Francisco	1	settlements
סוכארי	Q60498333						Sukharia	1	settlements
סט.לואיס	Q38022						St. Louis	1	settlements
סיטאווא	Q672157							1	settlements
סמילע	Q869869						41xx steel	1	settlements
פּוילישלליטע	Q172107						Polish–Lithuanian Commonwealth	1	province
פאַלטיטשען	Q303015						Fălticeni	1	settlements
קאָברין	Q955992						Kobryn	1	settlements
קאָוונער געטאָ	Q3208684						Acer Liquid Glow E330	1	province
קאָליפֿאָרניע	Q99						California	1	place
קאָליפאָרניע	Q99						California	1	province
קאָליפֿאַרניע	Q99						California	1	place
קאמעניעץ פאַדאָלסק	Q193965						Kamianets-Podilskyi	1	province
קלעשטשעל	Q578026						Kleszczele	1	settlements
קרושנעוויץ	Q339563						Gmina Krośniewice	1	settlements
ראַדאָמיסל	Q4387829						Radomyshl	1	settlements
ראַדזימין	Q609246						Radzymin (Poland)	1	settlements
ראָזאָריאַ	Q52535						Rosario	1	settlements
רזשעשאָוו	Q598						Rzeszów	1	settlements
פּוילן	Q36						Poland	481	countries
רוסלאַנד	Q159						Russia	140	countries
ענגלאַנד	Q21						England	71	countries
עסטרייך	Q40						Austria	59	countries
קאַנאַדע	Q16						Canada	30	countries
אוקראינע	Q212						Ukraine	25	countries
גאַליציע	Q180086						Galicia	22	countries
אוקראַינע	Q212						Ukraine	11	countries
טערקיי	Q43						Turkey	7	countries
מערב-אייראָפּע	Q27496						Western Europe	6	countries
פוילן	Q36						Poland	6	countries
אויסטראַליע	Q408						Australia	5	countries
אונגאַרן	Q28						Hungary	5	countries
ענגלאנד	Q21						England	5	countries
פאַראייניקטע שטאַטן	Q30						United States	5	countries
אייראָפּע	Q46						Europe	4	countries
טשילע	Q298						Chile	4	countries
אורוגוויי	Q77						Uruguay	3	countries
איטאָליע	Q38						Italy	3	countries
עסטלאַנד	Q191						Estonia	3	countries
קאָנאָדע	Q16						Canada	3	countries
קאנאַדע	Q16						Canada	3	countries
פֿאַראייניקטע שטאָטן	Q30						United States	3	countries
"א""י"	Q23792						Palestine	2	countries
אויסטראָליע	Q408						Australia	2	countries
אוקראָינע	Q212						Ukraine	2	countries
דענמאַרק	Q35						Denmark	2	countries
יוגאָסלאַוויע	Q36704						Yugoslavia	2	countries
אונגאָרן	Q28						Hungary	1	countries
אונגארן	Q28						Hungary	1	countries
אוקראַיִנע	Q212						Ukraine	1	countries
איטאַליע	Q38						Italy	1	countries
איטאליע	Q38						Italy	1	countries
אפריקע	Q15						Africa	1	countries
בולגאָריע	Q219						Bulgaria	1	countries
גריכנלאַנד	Q41						Greece	1	countries
דרום אָפריקע	Q258						South Africa	1	countries
האָלאַנד	Q55						Netherlands	1	countries
סאָוועטן-פאַרבאַנד	Q15180						Soviet Union	1	countries
ענגלאָנד	Q21						England	1	countries
פּאַלעסטינע	Q23792						Palestine	1	countries
פּאָרטוגאַל	Q45						Portugal	1	countries
פֿאַראייניקטע שטאָטן פֿון אַמעריקע	Q30						United States	1	countries
פאַראייניקטע שטאָטן	Q30						United States	1	countries
קאַנאָדע	Q16						Canada	1	countries
קאנאדע	Q16						Canada	1	countries
פֿאַראייניקטע שטאַטן	Q30						United States	1	countries
פֿאַראייניקטע שטאָטן פֿון אַמעריקע	Q30						United States	1	countries
פֿאַראייניקטע שטאטן	Q30						United States	1	countries
פֿאַראייניקטע שטאטן פֿון אַמעריקע	Q30						United States	1	countries
וואָלין	Q7530						Volhynia	43	countries
ווייסרוסלאַנד	Q184						Belarus	24	countries
עגיפּטען	Q79						Egypt	6	countries
טשעכיע	Q213						Czech Republic	5	countries
מזרח-גאַליציע	Q3573883						Eastern Galicia	59	countries
רוסיש-פּוילן	Q221457						Congress Poland	7	countries
רוסישפּוילן	Q221457						Congress Poland	4	countries
יו-עס-עי	Q30						United States	12	countries
יו עס עי	Q30						United States	5	countries
יו. עס. איי.	Q30						United States	3	countries
יונײַטעד סטייטס	Q30						United States	3	countries
די פֿאַראייניקטע שטאָטן	Q30						United States	0	countries
